word,frequency,length,has_accent,ado_to_ao_shift,ada_to_aa_shift,plural_aos_shift,plural_aas_shift,final_s_to_h,v_to_b_shift,spacy_lemma,lemma_after_rules,lemma_recovered_spacy,is_recovered,pos_tag,pos_standard
que,424,3,False,0,0,0,0,0,0,que,que,que,True,SCONJ,SCONJ
los,150,3,False,0,0,0,0,0,0,el,los,el,True,DET,DET
lo,112,2,False,0,0,0,0,0,0,él,lo,él,True,PRON,PRON
asere,13,5,False,0,0,0,0,0,0,aserir,asere,aserir,True,VERB,VERB
qué,8,3,True,0,0,0,0,0,0,qué,qué,qué,True,PRON,PRON
bola,4,4,False,0,0,0,0,0,1,bola,vola,vola,False,PROPN,NOUN
picao,3,5,False,1,0,0,0,0,0,picao,picado,picado,False,ADJ,ADJ
complicado,3,10,False,0,0,0,0,0,0,complicado,complicado,complicado,True,ADJ,ADJ
pelao,2,5,False,1,0,0,0,0,0,pelao,pelado,pelar,False,VERB,VERB
pegao,2,5,False,1,0,0,0,0,0,pegao,pegado,pegado,False,NOUN,ADJ
pasao,2,5,False,1,0,0,0,0,0,pasao,pasado,pasado,False,VERB,ADJ
melao,2,5,False,1,0,0,0,0,0,melao,melado,melado,False,VERB,ADJ
cacao,2,5,False,1,0,0,0,0,0,cacao,cacado,cacado,False,NOUN,ADJ
estao,2,5,False,1,0,0,0,0,0,estao,estado,estadir,False,PROPN,AUX
pesao,2,5,False,1,0,0,0,0,0,pesao,pesado,pesado,False,PROPN,ADJ
estaos,2,6,False,0,0,1,0,0,0,estao,estados,estado,False,NOUN,NOUN
volá,2,4,True,0,0,0,0,0,0,volá,volá,volá,True,ADJ,ADJ
reparaos,2,8,False,0,0,1,0,0,0,reparao,reparados,reparado,False,ADJ,ADJ
cuidaos,1,7,False,0,0,1,0,0,0,cuidao,cuidados,cuidado,False,NOUN,ADJ
apretao,1,7,False,1,0,0,0,0,0,apretao,apretado,apretado,False,VERB,ADJ
guardaos,1,8,False,0,0,1,0,0,0,guardaos,guardados,guardado,False,NOUN,ADJ
ocupaos,1,7,False,0,0,1,0,0,0,ocupao,ocupados,ocupado,False,NOUN,ADJ
mataos,1,6,False,0,0,1,0,0,0,matao,matados,matado,False,NOUN,ADJ
kagao,1,5,False,1,0,0,0,0,0,kagao,kagado,kagado,False,PROPN,ADJ
combinao,1,8,False,1,0,0,0,0,0,combinao ,combinado,combinado,False,VERB,ADJ
ansao,1,5,False,1,0,0,0,0,0,ansao,ansado,ansado,False,VERB,ADJ
olvidaos,1,8,False,0,0,1,0,0,0,olvidao,olvidados,olvidado,False,NOUN,ADJ
fidel,1,5,False,0,0,0,0,0,0,fidel,fidel,fidel,True,PROPN,PROPN
cansado,1,7,False,0,0,0,0,0,0,cansado,cansado,cansado,True,ADJ,ADJ
cuidado,1,7,False,0,0,0,0,0,0,cuidado,cuidado,cuidado,True,ADJ,ADJ
cuidao,1,6,False,1,0,0,0,0,0,cuidao,cuidado,cuidado,False,NOUN,ADJ
mantecado,1,9,False,0,0,0,0,0,0,mantecado,mantecado,mantecado,True,ADJ,ADJ
mantecao,1,8,False,1,0,0,0,0,0,mantecao,mantecado,mantecado,False,ADV,ADJ
pescao,1,6,False,1,0,0,0,0,0,pescao,pescado,pescado,False,NOUN,ADJ
acere,1,5,False,0,0,0,0,0,0,acerir,acere,acerir,True,VERB,VERB
vola,1,4,False,0,0,0,0,0,0,vola,vola,vola,True,NOUN,NOUN
castro,0,6,False,0,0,0,0,0,0,castro,castro,castro,True,PROPN,PROPN
complicao,0,9,False,1,0,0,0,0,0,complicao,complicado,complicado,False,NOUN,ADJ
pescado,0,7,False,0,0,0,0,0,0,pescado,pescado,pescado,True,ADJ,ADJ
bolá,0,4,True,0,0,0,0,0,1,bolá,volá,volá,False,NOUN,ADJ
loh,0,3,False,0,0,0,0,1,0,loh,los,el,False,VERB,DET
picado,0,6,False,0,0,0,0,0,0,picado,picado,picado,True,ADJ,ADJ
