word,frequency,length,has_accent,ado_to_ao_shift,ada_to_aa_shift,plural_aos_shift,plural_aas_shift,final_s_to_h,v_to_b_shift,spacy_lemma,lemma_after_rules,lemma_recovered_spacy,is_recovered,pos_tag,pos_standard,ado_to_ao,ados_to_aos,ada_to_aa,adas_to_aas,lemma,is_reduced,morpheme
que,424,3,False,0,0,0,0,0,0,que,que,que,True,SCONJ,SCONJ,0,0,0,0,que,False,
los,150,3,False,0,0,0,0,0,0,el,los,el,True,DET,DET,0,0,0,0,el,False,
lo,112,2,False,0,0,0,0,0,0,él,lo,él,True,PRON,PRON,0,0,0,0,él,False,
asere,13,5,False,0,0,0,0,0,0,aserir,asere,aserir,True,VERB,VERB,0,0,0,0,aserir,False,
qué,8,3,True,0,0,0,0,0,0,qué,qué,qué,True,PRON,PRON,0,0,0,0,qué,False,
bola,4,4,False,0,0,0,0,0,1,bola,vola,vola,False,PROPN,NOUN,0,0,0,0,bola,False,
picao,3,5,False,1,0,0,0,0,0,picao,picado,picado,False,ADJ,ADJ,1,0,0,0,picao,True,-ao
complicado,3,10,False,0,0,0,0,0,0,complicado,complicado,complicado,True,ADJ,ADJ,0,0,0,0,complicado,False,-ado
pelao,2,5,False,1,0,0,0,0,0,pelao,pelado,pelar,False,VERB,VERB,1,0,0,0,pelao,True,-ao
pegao,2,5,False,1,0,0,0,0,0,pegao,pegado,pegado,False,NOUN,ADJ,1,0,0,0,pegao,True,-ao
pasao,2,5,False,1,0,0,0,0,0,pasao,pasado,pasado,False,VERB,ADJ,1,0,0,0,pasao,True,-ao
melao,2,5,False,1,0,0,0,0,0,melao,melado,melado,False,VERB,ADJ,1,0,0,0,melao,True,-ao
cacao,2,5,False,1,0,0,0,0,0,cacao,cacado,cacado,False,NOUN,ADJ,1,0,0,0,cacao,True,-ao
estao,2,5,False,1,0,0,0,0,0,estao,estado,estadir,False,PROPN,AUX,1,0,0,0,estao,True,-ao
pesao,2,5,False,1,0,0,0,0,0,pesao,pesado,pesado,False,PROPN,ADJ,1,0,0,0,pesao,True,-ao
estaos,2,6,False,0,0,1,0,0,0,estao,estados,estado,False,NOUN,NOUN,0,1,0,0,estao,True,-aos
volá,2,4,True,0,0,0,0,0,0,volá,volá,volá,True,ADJ,ADJ,0,0,0,0,volá,False,
reparaos,2,8,False,0,0,1,0,0,0,reparao,reparados,reparado,False,ADJ,ADJ,0,1,0,0,reparao,True,-aos
cuidaos,1,7,False,0,0,1,0,0,0,cuidao,cuidados,cuidado,False,NOUN,ADJ,0,1,0,0,cuidao,True,-aos
apretao,1,7,False,1,0,0,0,0,0,apretao,apretado,apretado,False,VERB,ADJ,1,0,0,0,apretao,True,-ao
guardaos,1,8,False,0,0,1,0,0,0,guardaos,guardados,guardado,False,NOUN,ADJ,0,1,0,0,guardaos,True,-aos
ocupaos,1,7,False,0,0,1,0,0,0,ocupao,ocupados,ocupado,False,NOUN,ADJ,0,1,0,0,ocupao,True,-aos
mataos,1,6,False,0,0,1,0,0,0,matao,matados,matado,False,NOUN,ADJ,0,1,0,0,matao,True,-aos
kagao,1,5,False,1,0,0,0,0,0,kagao,kagado,kagado,False,PROPN,ADJ,1,0,0,0,kagao,True,-ao
combinao,1,8,False,1,0,0,0,0,0,combinao ,combinado,combinado,False,VERB,ADJ,1,0,0,0,combinao ,True,-ao
ansao,1,5,False,1,0,0,0,0,0,ansao,ansado,ansado,False,VERB,ADJ,1,0,0,0,ansao,True,-ao
olvidaos,1,8,False,0,0,1,0,0,0,olvidao,olvidados,olvidado,False,NOUN,ADJ,0,1,0,0,olvidao,True,-aos
fidel,1,5,False,0,0,0,0,0,0,fidel,fidel,fidel,True,PROPN,PROPN,0,0,0,0,fidel,False,
cansado,1,7,False,0,0,0,0,0,0,cansado,cansado,cansado,True,ADJ,ADJ,0,0,0,0,cansado,False,-ado
cuidado,1,7,False,0,0,0,0,0,0,cuidado,cuidado,cuidado,True,ADJ,ADJ,0,0,0,0,cuidado,False,-ado
cuidao,1,6,False,1,0,0,0,0,0,cuidao,cuidado,cuidado,False,NOUN,ADJ,1,0,0,0,cuidao,True,-ao
mantecado,1,9,False,0,0,0,0,0,0,mantecado,mantecado,mantecado,True,ADJ,ADJ,0,0,0,0,mantecado,False,-ado
mantecao,1,8,False,1,0,0,0,0,0,mantecao,mantecado,mantecado,False,ADV,ADJ,1,0,0,0,mantecao,True,-ao
pescao,1,6,False,1,0,0,0,0,0,pescao,pescado,pescado,False,NOUN,ADJ,1,0,0,0,pescao,True,-ao
acere,1,5,False,0,0,0,0,0,0,acerir,acere,acerir,True,VERB,VERB,0,0,0,0,acerir,False,
vola,1,4,False,0,0,0,0,0,0,vola,vola,vola,True,NOUN,NOUN,0,0,0,0,vola,False,
castro,0,6,False,0,0,0,0,0,0,castro,castro,castro,True,PROPN,PROPN,0,0,0,0,castro,False,
complicao,0,9,False,1,0,0,0,0,0,complicao,complicado,complicado,False,NOUN,ADJ,1,0,0,0,complicao,True,-ao
pescado,0,7,False,0,0,0,0,0,0,pescado,pescado,pescado,True,ADJ,ADJ,0,0,0,0,pescado,False,-ado
bolá,0,4,True,0,0,0,0,0,1,bolá,volá,volá,False,NOUN,ADJ,0,0,0,0,bolá,False,
loh,0,3,False,0,0,0,0,1,0,loh,los,el,False,VERB,DET,0,0,0,0,loh,False,
picado,0,6,False,0,0,0,0,0,0,picado,picado,picado,True,ADJ,ADJ,0,0,0,0,picado,False,-ado
